label,a,rx,ry,N,T_min,T_min_gap,gap_nm,has_gap,T_max,time_s,filename
a0.640_rx0.200_ry0.200_N16,0.64,0.2,0.2,16,0.12631776257093846,0.12631776257093846,160.5623518455809,True,0.37830747433636835,1.8,2d_a0.640_rx0.200_ry0.200_N16.csv
a0.640_rx0.200_ry0.300_N16,0.64,0.2,0.3,16,0.272065610158691,0.272065610158691,147.42757712951288,True,1.996434644828083,1.7,2d_a0.640_rx0.200_ry0.300_N16.csv
a0.640_rx0.200_ry0.400_N16,0.64,0.2,0.4,16,0.46435915722699134,0.46435915722699134,160.5623518455809,True,0.6761959518857743,1.7,2d_a0.640_rx0.200_ry0.400_N16.csv
a0.640_rx0.210_ry0.200_N16,0.64,0.21,0.2,16,0.12810272924751545,0.12810272924751545,160.5623518455809,True,0.4035694348781069,1.7,2d_a0.640_rx0.210_ry0.200_N16.csv
a0.640_rx0.210_ry0.300_N16,0.64,0.21,0.3,16,0.26732939921765475,0.26732939921765475,158.71687940463585,True,1.1549142430898023,1.7,2d_a0.640_rx0.210_ry0.300_N16.csv
a0.640_rx0.210_ry0.400_N16,0.64,0.21,0.4,16,0.45809020265950195,0.45809020265950195,160.5623518455809,True,0.5430159239621724,1.7,2d_a0.640_rx0.210_ry0.400_N16.csv
a0.640_rx0.220_ry0.200_N16,0.64,0.22,0.2,16,0.13258367146803418,0.13258367146803418,160.5623518455809,True,0.42867920851904906,1.7,2d_a0.640_rx0.220_ry0.200_N16.csv
a0.640_rx0.220_ry0.300_N16,0.64,0.22,0.3,16,0.2720758588858302,0.2720758588858302,152.2902930220514,True,1.7458367262473733,1.7,2d_a0.640_rx0.220_ry0.300_N16.csv
a0.640_rx0.220_ry0.400_N16,0.64,0.22,0.4,16,0.4554104496277114,0.4554104496277114,160.5623518455809,True,0.5203208647303923,1.7,2d_a0.640_rx0.220_ry0.400_N16.csv
a0.600_rx0.200_ry0.200_N12,0.6,0.2,0.2,12,0.2149084138564186,0.2149084138564186,160.5623518455809,True,0.8001186987329045,1.5,2d_a0.600_rx0.200_ry0.200_N12.csv
a0.600_rx0.200_ry0.200_N16,0.6,0.2,0.2,16,0.14948256886685696,0.14948256886685696,148.3371282986359,True,2.547890012936359,1.7,2d_a0.600_rx0.200_ry0.200_N16.csv
a0.600_rx0.200_ry0.200_N20,0.6,0.2,0.2,20,0.09677887737395625,0.09677887737395625,126.19424269453361,True,2.617842785301399,1.9,2d_a0.600_rx0.200_ry0.200_N20.csv
a0.600_rx0.200_ry0.240_N12,0.6,0.2,0.24,12,0.236802285155485,0.236802285155485,133.9052248145615,True,4.008630314203334,1.5,2d_a0.600_rx0.200_ry0.240_N12.csv
a0.600_rx0.200_ry0.240_N16,0.6,0.2,0.24,16,0.15457153233206122,0.15457153233206122,138.3876388294725,True,7.616860006209838,1.7,2d_a0.600_rx0.200_ry0.240_N16.csv
a0.600_rx0.200_ry0.240_N20,0.6,0.2,0.24,20,0.09797114458456586,0.09797114458456586,133.9052248145615,True,2.725428590213885,1.9,2d_a0.600_rx0.200_ry0.240_N20.csv
a0.600_rx0.200_ry0.280_N12,0.6,0.2,0.28,12,0.28601686951001914,0.28601686951001914,145.00706740609394,True,4.967266826197159,1.5,2d_a0.600_rx0.200_ry0.280_N12.csv
a0.600_rx0.200_ry0.280_N16,0.6,0.2,0.28,16,0.20860674663174936,0.20860674663174936,149.85530821328553,True,2.898423060635692,1.7,2d_a0.600_rx0.200_ry0.280_N16.csv
a0.600_rx0.200_ry0.280_N20,0.6,0.2,0.28,20,0.15233992342782054,0.15233992342782054,160.5623518455809,True,0.7019705643932315,1.9,2d_a0.600_rx0.200_ry0.280_N20.csv
a0.600_rx0.200_ry0.320_N12,0.6,0.2,0.32,12,0.37287271133934763,0.37287271133934763,160.5623518455809,True,1.3690144296128168,1.5,2d_a0.600_rx0.200_ry0.320_N12.csv
a0.600_rx0.200_ry0.320_N16,0.6,0.2,0.32,16,0.32256356150024834,0.32256356150024834,160.5623518455809,True,0.7421025605296134,1.7,2d_a0.600_rx0.200_ry0.320_N16.csv
a0.600_rx0.200_ry0.320_N20,0.6,0.2,0.32,20,0.23351746815557822,0.23351746815557822,160.5623518455809,True,0.8162777568695986,1.9,2d_a0.600_rx0.200_ry0.320_N20.csv
a0.600_rx0.200_ry0.360_N12,0.6,0.2,0.36,12,0.48162367882607293,0.48162367882607293,160.5623518455809,True,0.6238582317210418,1.5,2d_a0.600_rx0.200_ry0.360_N12.csv
a0.600_rx0.200_ry0.360_N16,0.6,0.2,0.36,16,0.46294518147717434,0.46294518147717434,160.5623518455809,True,0.5318131665462219,1.6,2d_a0.600_rx0.200_ry0.360_N16.csv
a0.600_rx0.200_ry0.360_N20,0.6,0.2,0.36,20,0.34679468081302794,0.34679468081302794,160.5623518455809,True,0.6267481639470315,1.9,2d_a0.600_rx0.200_ry0.360_N20.csv
a0.600_rx0.200_ry0.400_N12,0.6,0.2,0.4,12,0.48189326817129036,0.48189326817129036,160.5623518455809,True,0.5885175669654831,1.5,2d_a0.600_rx0.200_ry0.400_N12.csv
a0.600_rx0.200_ry0.400_N16,0.6,0.2,0.4,16,0.48175813175513615,0.48175813175513615,160.5623518455809,True,0.6494052778325347,1.6,2d_a0.600_rx0.200_ry0.400_N16.csv
a0.600_rx0.200_ry0.400_N20,0.6,0.2,0.4,20,0.43502055873894074,0.43502055873894074,160.5623518455809,True,0.5847311369500987,2.0,2d_a0.600_rx0.200_ry0.400_N20.csv
a0.600_rx0.200_ry0.440_N12,0.6,0.2,0.44,12,0.3970671229696052,0.3970671229696052,160.5623518455809,True,0.5465332743179975,1.5,2d_a0.600_rx0.200_ry0.440_N12.csv
a0.600_rx0.200_ry0.440_N16,0.6,0.2,0.44,16,0.3831591957325234,0.3831591957325234,160.5623518455809,True,0.6378376458691281,1.6,2d_a0.600_rx0.200_ry0.440_N16.csv
a0.600_rx0.200_ry0.440_N20,0.6,0.2,0.44,20,0.3370948434982571,0.3370948434982571,160.5623518455809,True,0.7005057463955647,1.9,2d_a0.600_rx0.200_ry0.440_N20.csv
a0.620_rx0.200_ry0.200_N12,0.62,0.2,0.2,12,0.20556880313738496,0.20556880313738496,160.5623518455809,True,0.59770186021303,1.5,2d_a0.620_rx0.200_ry0.200_N12.csv
a0.620_rx0.200_ry0.200_N16,0.62,0.2,0.2,16,0.1329891374572443,0.1329891374572443,159.63909635880532,True,0.9302045864602964,1.7,2d_a0.620_rx0.200_ry0.200_N16.csv
a0.620_rx0.200_ry0.200_N20,0.62,0.2,0.2,20,0.08766455567723277,0.08766455567723277,135.69520766813162,True,1.0425466271779815,1.9,2d_a0.620_rx0.200_ry0.200_N20.csv
a0.620_rx0.200_ry0.240_N12,0.62,0.2,0.24,12,0.22686136642856192,0.22686136642856192,149.55144580531237,True,1.8166988737065426,1.5,2d_a0.620_rx0.200_ry0.240_N12.csv
a0.620_rx0.200_ry0.240_N16,0.62,0.2,0.24,16,0.14196052841073198,0.14196052841073198,144.101231444243,True,4.249207309504249,1.7,2d_a0.620_rx0.200_ry0.240_N16.csv
a0.620_rx0.200_ry0.240_N20,0.62,0.2,0.24,20,0.0942709017038813,0.0942709017038813,136.2927512538647,True,1.0186245158149017,1.9,2d_a0.620_rx0.200_ry0.240_N20.csv
a0.620_rx0.200_ry0.280_N12,0.62,0.2,0.28,12,0.3026271728997839,0.3026271728997839,143.79951049317492,True,3.9409125088343204,1.5,2d_a0.620_rx0.200_ry0.280_N12.csv
a0.620_rx0.200_ry0.280_N16,0.62,0.2,0.28,16,0.22083182417407043,0.22083182417407043,141.6905985988276,True,2.7352910910335475,1.7,2d_a0.620_rx0.200_ry0.280_N16.csv
a0.620_rx0.200_ry0.280_N20,0.62,0.2,0.28,20,0.15481487341674344,0.15481487341674344,160.5623518455809,True,0.7919441550683013,1.9,2d_a0.620_rx0.200_ry0.280_N20.csv
a0.620_rx0.200_ry0.320_N12,0.62,0.2,0.32,12,0.3755931842258562,0.3755931842258562,143.49790162269824,True,2.47183295745459,1.5,2d_a0.620_rx0.200_ry0.320_N12.csv
a0.620_rx0.200_ry0.320_N16,0.62,0.2,0.32,16,0.3200400649799622,0.3200400649799622,157.18215424303344,True,1.7699083822226684,1.7,2d_a0.620_rx0.200_ry0.320_N16.csv
a0.620_rx0.200_ry0.320_N20,0.62,0.2,0.32,20,0.20240358249610035,0.20240358249610035,160.5623518455809,True,0.7732585997972866,1.9,2d_a0.620_rx0.200_ry0.320_N20.csv
a0.620_rx0.200_ry0.360_N12,0.62,0.2,0.36,12,0.4841849297073063,0.4841849297073063,160.5623518455809,True,0.5776950850529542,1.5,2d_a0.620_rx0.200_ry0.360_N12.csv
a0.620_rx0.200_ry0.360_N16,0.62,0.2,0.36,16,0.4625553521651179,0.4625553521651179,160.5623518455809,True,0.5836734872920645,1.7,2d_a0.620_rx0.200_ry0.360_N16.csv
a0.620_rx0.200_ry0.360_N20,0.62,0.2,0.36,20,0.25910927683860446,0.25910927683860446,160.5623518455809,True,0.7613613958924361,1.9,2d_a0.620_rx0.200_ry0.360_N20.csv
a0.620_rx0.200_ry0.400_N12,0.62,0.2,0.4,12,0.47577657970260173,0.47577657970260173,160.5623518455809,True,0.5532058729813275,1.5,2d_a0.620_rx0.200_ry0.400_N12.csv
a0.620_rx0.200_ry0.400_N16,0.62,0.2,0.4,16,0.47089459719003196,0.47089459719003196,160.5623518455809,True,0.6115296981721641,1.7,2d_a0.620_rx0.200_ry0.400_N16.csv
a0.620_rx0.200_ry0.400_N20,0.62,0.2,0.4,20,0.38827969429649223,0.38827969429649223,160.5623518455809,True,0.662865784153326,1.9,2d_a0.620_rx0.200_ry0.400_N20.csv
a0.620_rx0.200_ry0.440_N12,0.62,0.2,0.44,12,0.3640310043225619,0.3640310043225619,160.5623518455809,True,0.5926804734370976,1.5,2d_a0.620_rx0.200_ry0.440_N12.csv
a0.620_rx0.200_ry0.440_N16,0.62,0.2,0.44,16,0.3395701370231403,0.3395701370231403,160.5623518455809,True,0.6168070048548231,1.7,2d_a0.620_rx0.200_ry0.440_N16.csv
a0.620_rx0.200_ry0.440_N20,0.62,0.2,0.44,20,0.17636113214515844,0.17636113214515844,160.5623518455809,True,1.431218099952636,1.9,2d_a0.620_rx0.200_ry0.440_N20.csv
a0.640_rx0.200_ry0.200_N12,0.64,0.2,0.2,12,0.20345714202050538,0.20345714202050538,160.5623518455809,True,0.5772261397607924,1.5,2d_a0.640_rx0.200_ry0.200_N12.csv
a0.640_rx0.200_ry0.200_N16,0.64,0.2,0.2,16,0.12631776257093846,0.12631776257093846,160.5623518455809,True,0.37830747433636835,0,2d_a0.640_rx0.200_ry0.200_N16.csv
a0.640_rx0.200_ry0.200_N20,0.64,0.2,0.2,20,0.07910598771489138,0.07910598771489138,160.5623518455809,True,0.5481106600625083,2.0,2d_a0.640_rx0.200_ry0.200_N20.csv
a0.640_rx0.200_ry0.240_N12,0.64,0.2,0.24,12,0.2289331417710495,0.2289331417710495,160.5623518455809,True,0.6170751909599654,1.5,2d_a0.640_rx0.200_ry0.240_N12.csv
a0.640_rx0.200_ry0.240_N16,0.64,0.2,0.24,16,0.14116322555729205,0.14116322555729205,160.25448451587545,True,0.8979020520455187,1.7,2d_a0.640_rx0.200_ry0.240_N16.csv
a0.640_rx0.200_ry0.240_N20,0.64,0.2,0.24,20,0.08917747111290435,0.08917747111290435,160.5623518455809,True,0.7946492062262919,1.9,2d_a0.640_rx0.200_ry0.240_N20.csv
a0.640_rx0.200_ry0.280_N12,0.64,0.2,0.28,12,0.32751404799460376,0.32751404799460376,143.49790162269824,True,2.5764520839180167,1.5,2d_a0.640_rx0.200_ry0.280_N12.csv
a0.640_rx0.200_ry0.280_N16,0.64,0.2,0.28,16,0.22645441438987907,0.22645441438987907,148.94406075351958,True,2.066182670381117,1.7,2d_a0.640_rx0.200_ry0.280_N16.csv
a0.640_rx0.200_ry0.280_N20,0.64,0.2,0.28,20,0.15636960655117857,0.15636960655117857,160.5623518455809,True,0.6492834682805906,1.9,2d_a0.640_rx0.200_ry0.280_N20.csv
a0.640_rx0.200_ry0.320_N12,0.64,0.2,0.32,12,0.38369550263360735,0.38369550263360735,150.7675757261777,True,2.378531038911486,1.5,2d_a0.640_rx0.200_ry0.320_N12.csv
a0.640_rx0.200_ry0.320_N16,0.64,0.2,0.32,16,0.32525771743797205,0.32525771743797205,155.03836194659084,True,1.3173127197895844,1.7,2d_a0.640_rx0.200_ry0.320_N16.csv
a0.640_rx0.200_ry0.320_N20,0.64,0.2,0.32,20,0.2726630224882164,0.2726630224882164,160.5623518455809,True,0.7440336110646225,1.9,2d_a0.640_rx0.200_ry0.320_N20.csv
a0.640_rx0.200_ry0.360_N12,0.64,0.2,0.36,12,0.48033984240211663,0.48033984240211663,158.409704235459,True,0.9952184306436405,1.5,2d_a0.640_rx0.200_ry0.360_N12.csv
a0.640_rx0.200_ry0.360_N16,0.64,0.2,0.36,16,0.3607823479611808,0.3607823479611808,160.5623518455809,True,0.8441624504979583,1.7,2d_a0.640_rx0.200_ry0.360_N16.csv
