run_id,source_mirror_candidate_id,a_m,rx_m,ry_m,a_c,rx_c,ry_c,N_taper,N_mirror,defect_gap,N_total,valid_geometry,lambda0_nm,FWHM_nm,Q,T_peak,prominence,fit_r2,best_peak_score,highest_q_peak_Q,spectrum_csv,spectrum_png,fit_png,error_message
1,default,0.44,0.12,0.22,0.374,0.12,0.22,3,5,0,16,1,1543.63,20.5991,75,0.7659,0.5801,0.9998,50.1,75,results/spectra/cavity_run_0001.csv,results/figures/cavity_run_0001_spectrum.png,results/figures/cavity_run_0001_fit.png,
2,default,0.44,0.12,0.22,0.3905,0.12,0.22,3,5,0,16,1,1501.23,11.6028,129,0.8964,0.7313,1.0000,51.2,129,results/spectra/cavity_run_0002.csv,results/figures/cavity_run_0002_spectrum.png,results/figures/cavity_run_0002_fit.png,
3,default,0.44,0.12,0.22,0.407,0.12,0.22,3,5,0,16,1,1504.80,13.1866,114,0.9269,0.8040,1.0000,52.8,181,results/spectra/cavity_run_0003.csv,results/figures/cavity_run_0003_spectrum.png,results/figures/cavity_run_0003_fit.png,
4,default,0.44,0.12,0.22,0.4235,0.12,0.22,3,5,0,16,1,1506.40,16.0413,94,0.9440,0.8828,1.0000,53.6,106,results/spectra/cavity_run_0004.csv,results/figures/cavity_run_0004_spectrum.png,results/figures/cavity_run_0004_fit.png,
5,default,0.44,0.12,0.22,0.44,0.12,0.22,3,5,0,16,1,1505.81,25.5645,59,0.8869,0.8574,1.0000,51.2,89,results/spectra/cavity_run_0005.csv,results/figures/cavity_run_0005_spectrum.png,results/figures/cavity_run_0005_fit.png,
6,default,0.44,0.12,0.22,0.4565,0.12,0.22,3,5,0,16,1,1521.57,23.6764,64,0.8492,0.7354,0.9988,51.2,64,results/spectra/cavity_run_0006.csv,results/figures/cavity_run_0006_spectrum.png,results/figures/cavity_run_0006_fit.png,
7,default,0.44,0.12,0.22,0.473,0.12,0.22,3,5,0,16,1,1521.31,17.9053,85,0.8975,0.5647,0.9995,53.2,85,results/spectra/cavity_run_0007.csv,results/figures/cavity_run_0007_spectrum.png,results/figures/cavity_run_0007_fit.png,
8,default,0.44,0.12,0.22,0.4895,0.12,0.22,3,5,0,16,1,1521.92,19.1873,79,0.8902,0.5910,0.9995,53.0,79,results/spectra/cavity_run_0008.csv,results/figures/cavity_run_0008_spectrum.png,results/figures/cavity_run_0008_fit.png,
9,default,0.44,0.12,0.22,0.506,0.12,0.22,3,5,0,16,1,1523.33,14.5518,105,0.8340,0.6177,0.9998,50.9,105,results/spectra/cavity_run_0009.csv,results/figures/cavity_run_0009_spectrum.png,results/figures/cavity_run_0009_fit.png,
10,default,0.44,0.12,0.22,0.4235,0.084,0.22,3,5,0,16,1,1509.97,17.2771,87,0.9533,0.8697,0.9998,54.3,146,results/spectra/cavity_run_0010.csv,results/figures/cavity_run_0010_spectrum.png,results/figures/cavity_run_0010_fit.png,
11,default,0.44,0.12,0.22,0.4235,0.094,0.22,3,5,0,16,1,1509.11,13.9604,108,0.9549,0.8757,0.9999,54.3,108,results/spectra/cavity_run_0011.csv,results/figures/cavity_run_0011_spectrum.png,results/figures/cavity_run_0011_fit.png,
12,default,0.44,0.12,0.22,0.4235,0.104,0.22,3,5,0,16,1,1508.13,15.5027,97,0.9556,0.8822,0.9999,54.2,97,results/spectra/cavity_run_0012.csv,results/figures/cavity_run_0012_spectrum.png,results/figures/cavity_run_0012_fit.png,
13,default,0.44,0.12,0.22,0.4235,0.114,0.22,3,5,0,16,1,1507.11,15.1973,99,0.9449,0.8807,1.0000,53.7,100,results/spectra/cavity_run_0013.csv,results/figures/cavity_run_0013_spectrum.png,results/figures/cavity_run_0013_fit.png,
14,default,0.44,0.12,0.22,0.4235,0.124,0.22,3,5,0,16,1,1505.89,16.0771,94,0.9431,0.8832,1.0000,53.5,94,results/spectra/cavity_run_0014.csv,results/figures/cavity_run_0014_spectrum.png,results/figures/cavity_run_0014_fit.png,
