wavelength_nm,transmission
1.423884514435695564e+03,2.240612413260473224e-01
1.424271444663104830e+03,2.253926798422791755e-01
1.424658585238606747e+03,2.266036584884662808e-01
1.425045936333776353e+03,2.276984787444940317e-01
1.425433498120375134e+03,2.286814867956344643e-01
1.425821270770351248e+03,2.295570563521862339e-01
1.426209254455840892e+03,2.303295728613128091e-01
1.426597449349166936e+03,2.310034190436112966e-01
1.426985855622840063e+03,2.315829617034427523e-01
1.427374473449558764e+03,2.320725397497772902e-01
1.427763303002210023e+03,2.324764533535579325e-01
1.428152344453869091e+03,2.327989541883398183e-01
1.428541597977799711e+03,2.330442366822691458e-01
1.428931063747455255e+03,2.332164302171912118e-01
1.429320741936477134e+03,2.333195922145382961e-01
1.429710632718697525e+03,2.333577020413518111e-01
1.430100736268137098e+03,2.333346556803845839e-01
1.430491052759007744e+03,2.332542611012090872e-01
1.430881582365710756e+03,2.331202342834351460e-01
1.431272325262837967e+03,2.329361958317186787e-01
1.431663281625172431e+03,2.327056681363173229e-01
1.432054451627687740e+03,2.324320730339189400e-01
1.432445835445548937e+03,2.321187299181380614e-01
1.432837433254112966e+03,2.317688542653623396e-01
1.433229245228927539e+03,2.313855565330900921e-01
1.433621271545734089e+03,2.309718413985830943e-01
1.434013512380464817e+03,2.305306073031083147e-01
1.434405967909245419e+03,2.300646462745484788e-01
1.434798638308393947e+03,2.295766440009152365e-01
1.435191523754422178e+03,2.290691801294345298e-01
1.435584624424034473e+03,2.285447287716821652e-01
1.435977940494129371e+03,2.280056591947783040e-01
1.436371472141799586e+03,2.274542366792119130e-01
1.436765219544331330e+03,2.268926235307729411e-01
1.437159182879205218e+03,2.263228802322872768e-01
1.437553362324097861e+03,2.257469667204794750e-01
1.437947758056879366e+03,2.251667437815023931e-01
1.438342370255615833e+03,2.245839745524474407e-01
1.438737199098568681e+03,2.240003261214263963e-01
1.439132244764195093e+03,2.234173712190366257e-01
1.439527507431148479e+03,2.228365899939203920e-01
1.439922987278278242e+03,2.222593718673101515e-01
1.440318684484630694e+03,2.216870174591456522e-01
1.440714599229449277e+03,2.211207405828172767e-01
1.441110731692173886e+03,2.205616703009022073e-01
1.441507082052442229e+03,2.200108530400147755e-01
1.441903650490089376e+03,2.194692547580557873e-01
1.442300437185149121e+03,2.189377631594309204e-01
1.442697442317852392e+03,2.184171899548712770e-01
1.443094666068629294e+03,2.179082731595132216e-01
1.443492108618108659e+03,2.174116794260286811e-01
1.443889770147118497e+03,2.169280064064617597e-01
1.444287650836685316e+03,2.164577851389649921e-01
1.444685750868036166e+03,2.160014824534116640e-01
1.445084070422597733e+03,2.155595033910042702e-01
1.445482609681996792e+03,2.151321936329906037e-01
1.445881368828059976e+03,2.147198419309801765e-01
1.446280348042815604e+03,2.143226825369175248e-01
1.446679547508492078e+03,2.139408976235891990e-01
1.447078967407519713e+03,2.135746196911558203e-01
1.447478607922529818e+03,2.132239339561371461e-01
1.447878469236355841e+03,2.128888807135186356e-01
1.448278551532033362e+03,2.125694576705460803e-01
1.448678854992800098e+03,2.122656222439490425e-01
1.449079379802096810e+03,2.119772938169633969e-01
1.449480126143566395e+03,2.117043559511772588e-01
1.449881094201055703e+03,2.114466585483702477e-01
1.450282284158614630e+03,2.112040199571535437e-01
1.450683696200497479e+03,2.109762290229144355e-01
1.451085330511161601e+03,2.107630470743335760e-01
1.451487187275269434e+03,2.105642098455473565e-01
1.451889266677687829e+03,2.103794293300302320e-01
1.452291568903488042e+03,2.102083955640789426e-01
1.452694094137948014e+03,2.100507783375434312e-01
1.453096842566549412e+03,2.099062288312188163e-01
1.453499814374980360e+03,2.097743811786306478e-01
1.453903009749135435e+03,2.096548539524167587e-01
1.454306428875114761e+03,2.095472515748953990e-01
1.454710071939225600e+03,2.094511656531912736e-01
1.455113939127981894e+03,2.093661762392180770e-01
1.455518030628104498e+03,2.092918530170423397e-01
1.455922346626522767e+03,2.092277564169252313e-01
1.456326887310372513e+03,2.091734386603351370e-01
1.456731652866998729e+03,2.091284447369499699e-01
1.457136643483953776e+03,2.090923133164014347e-01
1.457541859348999196e+03,2.090645775983932808e-01
1.457947300650105262e+03,2.090447661035451099e-01
1.458352967575451657e+03,2.090324034093321848e-01
1.458758860313427476e+03,2.090270108340448740e-01
1.459164979052631224e+03,2.090281070732599722e-01
1.459571323981871956e+03,2.090352087923488533e-01
1.459977895290169272e+03,2.090478311792701993e-01
1.460384693166752868e+03,2.090654884619446430e-01
1.460791717801063669e+03,2.090876943940735422e-01
1.461198969382753830e+03,2.091139627134965817e-01
1.461606448101687192e+03,2.091438075778062899e-01
1.462014154147939280e+03,2.091767439801396899e-01
1.462422087711797758e+03,2.092122881497845699e-01
1.462830248983762885e+03,2.092499579410460053e-01
1.463238638154547061e+03,2.092892732138478262e-01
1.463647255415077097e+03,2.093297562093466568e-01
1.464056100956491491e+03,2.093709319235385058e-01
1.464465174970143607e+03,2.094123284819784936e-01
1.464874477647599861e+03,2.094534775174274055e-01
1.465284009180641306e+03,2.094939145535285041e-01
1.465693769761263638e+03,2.095331793955308719e-01
1.466103759581677195e+03,2.095708165302978265e-01
1.466513978834307409e+03,2.096063755364137859e-01
1.466924427711795261e+03,2.096394115056197383e-01
1.467335106406997056e+03,2.096694854758490434e-01
1.467746015112986015e+03,2.096961648766073882e-01
1.468157154023050907e+03,2.097190239858201244e-01
1.468568523330697190e+03,2.097376443988666350e-01
1.468980123229647461e+03,2.097516155080602906e-01
1.469391953913841689e+03,2.097605349923369333e-01
1.469804015577437212e+03,2.097640093155825058e-01
1.470216308414809191e+03,2.097616542320301647e-01
1.470628832620550611e+03,2.097530952974403229e-01
1.471041588389474100e+03,2.097379683834108555e-01
1.471454575916609656e+03,2.097159201933961048e-01
1.471867795397207146e+03,2.096866087775588472e-01
1.472281247026735628e+03,2.096497040444068594e-01
1.472694931000883798e+03,2.096048882663489044e-01
1.473108847515560456e+03,2.095518565767502117e-01
1.473522996766894494e+03,2.094903174556309311e-01
1.473937378951235814e+03,2.094199932013142140e-01
1.474351994265155099e+03,2.093406203852471725e-01
1.474766842905443809e+03,2.092519502873440018e-01
1.475181925069115550e+03,2.091537493089686284e-01
1.475597240953405844e+03,2.090457993612806764e-01
1.476012790755771903e+03,2.089278982259681616e-01
1.476428574673893763e+03,2.087998598864187760e-01
1.476844592905674062e+03,2.086615148267375042e-01
1.477260845649238945e+03,2.085127102967471724e-01
1.477677333102937155e+03,2.083533105408699737e-01
1.478094055465342308e+03,2.081831969891469736e-01
1.478511012935250847e+03,2.080022684092401875e-01
1.478928205711684996e+03,2.078104410174832217e-01
1.479345633993890488e+03,2.076076485485678358e-01
1.479763297981338837e+03,2.073938422825483130e-01
1.480181197873726205e+03,2.071689910288679881e-01
1.480599333870975215e+03,2.069330810670319265e-01
1.481017706173233364e+03,2.066861160435766176e-01
1.481436314980875750e+03,2.064281168260680421e-01
1.481855160494502798e+03,2.061591213139765955e-01
1.482274242914942988e+03,2.058791842074230438e-01
1.482693562443251267e+03,2.055883767345972613e-01
1.483113119280710180e+03,2.052867863390686887e-01
1.483532913628830784e+03,2.049745163282235549e-01
1.483952945689351964e+03,2.046516854845523148e-01
1.484373215664241116e+03,2.043184276413864964e-01
1.484793723755694373e+03,2.039748912252129232e-01
1.485214470166137289e+03,2.036212387666271884e-01
1.485635455098224838e+03,2.032576463820403856e-01
1.486056678754841869e+03,2.028843032288349391e-01
1.486478141339103104e+03,2.025014109363923731e-01
1.486899843054354278e+03,2.021091830154261582e-01
1.487321784104171911e+03,2.017078442486713030e-01
1.487743964692363079e+03,2.012976300654341355e-01
1.488166385022966551e+03,2.008787859030102263e-01
1.488589045300253474e+03,2.004515665575979655e-01
1.489011945728726232e+03,2.000162355278577164e-01
1.489435086513120268e+03,1.995730643536665072e-01
1.489858467858403856e+03,1.991223319530362190e-01
1.490282089969777871e+03,1.986643239599444888e-01
1.490705953052676932e+03,1.981993320656836033e-01
1.491130057312769850e+03,1.977276533665143499e-01
1.491554402955958949e+03,1.972495897199398052e-01
1.491978990188381204e+03,1.967654471122018689e-01
1.492403819216408465e+03,1.962755350391734432e-01
1.492828890246647688e+03,1.957801659028509389e-01
1.493254203485940934e+03,1.952796544254931377e-01
1.493679759141366731e+03,1.947743170832124115e-01
1.494105557420238711e+03,1.942644715607849959e-01
1.494531598530108340e+03,1.937504362291277704e-01
1.494957882678762871e+03,1.932325296469769582e-01
1.495384410074226707e+03,1.927110700877264493e-01
1.495811180924762311e+03,1.921863750926497971e-01
1.496238195438869525e+03,1.916587610512036632e-01
1.496665453825286477e+03,1.911285428090772065e-01
1.497092956292989584e+03,1.905960333045123023e-01
1.497520703051194459e+03,1.900615432331142496e-01
1.497948694309355460e+03,1.895253807412956293e-01
1.498376930277167048e+03,1.889878511482613321e-01
1.498805411164562656e+03,1.884492566963517912e-01
1.499234137181716960e+03,1.879098963293045765e-01
1.499663108539044742e+03,1.873700654979322533e-01
1.500092325447201347e+03,1.868300559924890580e-01
1.500521788117083815e+03,1.862901558009135983e-01
1.500951496759830206e+03,1.857506489919988901e-01
1.501381451586821413e+03,1.852118156224230594e-01
1.501811652809679572e+03,1.846739316663675579e-01
1.502242100640269882e+03,1.841372689666001816e-01
1.502672795290701060e+03,1.836020952054726318e-01
1.503103736973324430e+03,1.830686738945345449e-01
1.503534925900735288e+03,1.825372643811467854e-01
1.503966362285772448e+03,1.820081218705623116e-01
1.504398046341519830e+03,1.814814974619032018e-01
1.504829978281305785e+03,1.809576381963125535e-01
1.505262158318703541e+03,1.804367871157041003e-01
1.505694586667531667e+03,1.799191833303706023e-01
1.506127263541855200e+03,1.794050620938497931e-01
1.506560189155984290e+03,1.788946548833140748e-01
1.506993363724476239e+03,1.783881894839659810e-01
1.507426787462135508e+03,1.778858900757165074e-01
1.507860460584012799e+03,1.773879773206878951e-01
1.508294383305406882e+03,1.768946684499826394e-01
1.508728555841864591e+03,1.764061773483077966e-01
1.509162978409180823e+03,1.759227146350546833e-01
1.509597651223398771e+03,1.754444877405303416e-01
1.510032574500811052e+03,1.749717009761523057e-01
1.510467748457959260e+03,1.745045555973936402e-01
1.510903173311635328e+03,1.740432498585673116e-01
1.511338849278880843e+03,1.735879790583185200e-01
1.511774776576987279e+03,1.731389355751565828e-01
1.512210955423497808e+03,1.726963088921482092e-01
1.512647386036205944e+03,1.722602856102267710e-01
1.513084068633157358e+03,1.718310494494703355e-01
1.513521003432648968e+03,1.714087812380589715e-01
1.513958190653230304e+03,1.709936588884496678e-01
1.514395630513703736e+03,1.705858573606879314e-01
1.514833323233123565e+03,1.701855486125962991e-01
1.515271269030798976e+03,1.697929015370129580e-01
1.515709468126291313e+03,1.694080818859978743e-01
1.516147920739417032e+03,1.690312521823356950e-01
1.516586627090246338e+03,1.686625716185478907e-01
1.517025587399104779e+03,1.683021959438024129e-01
1.517464801886572332e+03,1.679502773392469728e-01
1.517904270773485223e+03,1.676069642821877148e-01
1.518343994280935249e+03,1.672724013998616310e-01
1.518783972630270227e+03,1.669467293134103136e-01
1.519224206043095364e+03,1.666300844728280384e-01
1.519664694741272342e+03,1.663225989836843999e-01
1.520105438946920231e+03,1.660244004265203355e-01
1.520546438882415941e+03,1.657356116697362991e-01
1.520987694770394455e+03,1.654563506769995695e-01
1.521429206833749276e+03,1.651867303100334472e-01
1.521870975295632888e+03,1.649268581279071944e-01
1.522313000379456980e+03,1.646768361837038785e-01
1.522755282308892902e+03,1.644367608196122266e-01
1.523197821307871436e+03,1.642067224615030019e-01
1.523640617600585074e+03,1.639868054139332620e-01
1.524083671411485966e+03,1.637770876565862455e-01
1.524526982965287971e+03,1.635776406431358188e-01
1.524970552486965744e+03,1.633885291034538056e-01
1.525414380201756558e+03,1.632098108501162381e-01
1.525858466335160074e+03,1.630415365900544367e-01
1.526302811112937889e+03,1.628837497422143121e-01
1.526747414761114896e+03,1.627364862620124808e-01
1.527192277505980201e+03,1.625997744733585493e-01
1.527637399574085975e+03,1.624736349088987397e-01
1.528082781192248603e+03,1.623580801591647249e-01
1.528528422587549130e+03,1.622531147312049060e-01
1.528974323987333719e+03,1.621587349171946246e-01
1.529420485619213878e+03,1.620749286735331807e-01
1.529866907711066915e+03,1.620016755108048268e-01
1.530313590491035939e+03,1.619389463949520713e-01
1.530760534187530993e+03,1.618867036599478115e-01
1.531207739029228833e+03,1.618449009321861753e-01
1.531655205245073375e+03,1.618134830667707913e-01
1.532102933064276613e+03,1.617923860957519444e-01
1.532550922716318382e+03,1.617815371884502584e-01
1.532999174430947050e+03,1.617808546237845813e-01
1.533447688438179966e+03,1.617902477746038792e-01
1.533896464968303235e+03,1.618096171039260789e-01
1.534345504251873535e+03,1.618388541729127994e-01
1.534794806519716531e+03,1.618778416604564896e-01
1.535244372002929140e+03,1.619264533941415229e-01
1.535694200932878857e+03,1.619845543923666420e-01
1.536144293541204661e+03,1.620520009173532505e-01
1.536594650059816786e+03,1.621286405387888097e-01
1.537045270720897634e+03,1.622143122078190391e-01
1.537496155756901999e+03,1.623088463410616022e-01
1.537947305400557525e+03,1.624120649144000228e-01
1.538398719884865386e+03,1.625237815662297636e-01
1.538850399443100287e+03,1.626438017098412736e-01
1.539302344308810461e+03,1.627719226547581222e-01
1.539754554715818813e+03,1.629079337366465818e-01
1.540207030898224048e+03,1.630516164556661263e-01
1.540659773090398858e+03,1.632027446229568912e-01
1.541112781526991967e+03,1.633610845151325652e-01
1.541566056442928584e+03,1.635263950365774821e-01
1.542019598073409725e+03,1.636984278894204892e-01
1.542473406653914026e+03,1.638769277511031575e-01
1.542927482420196611e+03,1.640616324594394160e-01
